遊戲名稱,發行日期,評價,使用者評論數,價格,遊戲標籤
Red Dead Redemption 2,"Dec 5, 2019",Very Positive,"| 549,997 User Reviews",NT$ 590.00,"['Open World', 'Story Rich', 'Western', 'Adventure', 'Multiplayer', 'Action', 'Realistic', 'Singleplayer', 'Shooter', 'Atmospheric', 'Horses', 'Beautiful', 'Mature', 'Third-Person Shooter', 'Great Soundtrack', 'Third Person', 'Gore', 'Sandbox', 'First-Person', 'FPS']"
Ready or Not: Home Invasion,"Jul 23, 2024",Mixed,| 312 User Reviews,NT$ 249.00,"['Tactical', 'Realistic', 'FPS', 'Shooter', 'Multiplayer', 'Co-op', 'Singleplayer', 'First-Person', 'Action', 'Horror', 'Violent', 'Gun Customization', 'Combat', 'Crime', 'Gore', 'Modern', 'Atmospheric', 'America', 'Co-op Campaign', 'Psychological Horror']"
Nine Sols,"May 29, 2024",Overwhelmingly Positive,"| 7,645 User Reviews",NT$ 650.00,"['Action', 'Metroidvania', 'Souls-like', 'Difficult', 'Platformer', 'Hand-drawn', '2D', 'Adventure', 'Atmospheric', 'Cats', 'Dark Fantasy', 'Sci-fi', 'Story Rich', 'Mythology', 'Gore', 'Indie', 'Singleplayer', 'Martial Arts', 'Action-Adventure', 'Comic Book']"
Conqueror's Blade,"Apr 6, 2020",Mixed,"| 30,424 User Reviews",Free To Play,"['PvP', 'Medieval', 'Massively Multiplayer', 'Action', 'Strategy', 'MMORPG', 'Sandbox', 'Free to Play', 'Character Customization', 'Alternate History', 'War', 'Wargame', 'RPG', 'Open World', 'Swordplay', 'RTS', 'Tactical', 'Third Person', 'Team-Based', 'Action RPG']"
Kunitsu-Gami: Path of the Goddess,"Jul 19, 2024",Very Positive,| 468 User Reviews,"NT$ 1,560.00","['Action', 'Strategy', 'Tower Defense', '3D', 'Lore-Rich', 'Mythology', 'Supernatural', 'Hack and Slash', 'Singleplayer']"
Torchlight: Infinite,"May 10, 2023",Mostly Positive,"| 12,370 User Reviews",Free To Play,"['RPG', 'Loot', 'Hack and Slash', 'Action RPG', 'Action', 'Adventure', 'Combat', 'Multiplayer', 'Dungeon Crawler', 'Action-Adventure', 'Top-Down', 'Singleplayer', 'Free to Play', 'Drama', 'Fantasy', 'Story Rich', 'Character Customization', 'Time Travel', 'Co-op', 'Magic']"
Dead by Daylight,"Jun 14, 2016",Very Positive,"| 531,384 User Reviews",NT$ 379.00,"['Horror', 'Survival Horror', 'Multiplayer', 'Online Co-Op', 'Co-op', 'Survival', 'Gore', 'Team-Based', 'Blood', 'Stealth', 'Third Person', 'Violent', 'First-Person', 'Psychological Horror', 'Action', 'Atmospheric', 'Strategy', 'Comedy', 'Mature', 'Difficult']"
GUILTY GEAR -STRIVE-,"Jun 11, 2021",Very Positive,"| 36,294 User Reviews",NT$ 596.00,"['Fighting', '2D Fighter', 'Great Soundtrack', 'Anime', 'PvP', '2.5D', 'Arcade', 'Lore-Rich', 'Action', 'Multiplayer', '2D', 'Story Rich', '3D', 'Local Multiplayer', 'Fantasy', 'Combat', 'Cinematic', 'Drama', 'LGBTQ+', 'Casual']"
Party Animals,"Sep 20, 2023",Mostly Positive,"| 36,576 User Reviews",NT$ 335.00,"['Casual', 'Multiplayer', 'Funny', 'Cute', 'Party Game', 'Fighting', 'Action', 'PvP', 'Co-op', 'Party', 'Family Friendly', 'Online Co-Op', 'Physics', '3D Fighter', 'Local Multiplayer', '4 Player Local', 'Indie', 'Team-Based', 'Local Co-Op', 'Action-Adventure']"
Diablo® IV,"Oct 17, 2023",Mostly Positive,"| 20,432 User Reviews","NT$ 1,575.00","['Action RPG', 'Hack and Slash', 'Loot', 'RPG', 'Isometric', 'Online Co-Op', 'Singleplayer', 'Co-op', 'Action', 'Third Person', 'Multiplayer', 'PvE', 'Fantasy', 'Dungeon Crawler', 'Story Rich', 'Dark Fantasy', 'Gore', 'Exploration', 'Point & Click', 'Violent']"
Ghost of Tsushima DIRECTOR'S CUT,"May 16, 2024",Very Positive,"| 23,818 User Reviews","NT$ 1,490.00","['Action', 'Open World', 'Adventure', 'Story Rich', 'Singleplayer', 'Third Person', 'Combat', 'Stealth', 'Ninja', 'Action-Adventure', 'Action RPG', 'Souls-like', 'Atmospheric', 'Historical', 'Multiplayer', 'Gore', 'Violent', 'Exploration', 'Online Co-Op', 'Co-op']"
