62.,Hotline Miami,https://steamdb.info/app/219150/,"94,092","2,667","96,759",95.75%
63.,Chants of Sennaar,https://steamdb.info/app/1931770/,"14,788",238,"15,026",95.74%
64.,The Wolf Among Us,https://steamdb.info/app/250320/,"32,746",736,"33,482",95.73%
65.,The WereCleaner,https://steamdb.info/app/2795000/,"4,187",10,"4,197",95.72%
66.,TOEM,https://steamdb.info/app/1307580/,"6,320",49,"6,369",95.71%
67.,Satisfactory,https://steamdb.info/app/526870/,"159,807","5,019","164,826",95.69%
68.,Resident Evil 2,https://steamdb.info/app/883710/,"152,855","4,813","157,668",95.67%
70.,Crab Champions,https://steamdb.info/app/774801/,"22,033",447,"22,480",95.66%
69.,Brotato,https://steamdb.info/app/1942280/,"75,252","2,120","77,372",95.66%
72.,Neon White,https://steamdb.info/app/1533420/,"15,173",264,"15,437",95.64%
71.,The Room,https://steamdb.info/app/288160/,"26,482",581,"27,063",95.64%
74.,"Papers, Please",https://steamdb.info/app/239030/,"67,735","1,917","69,652",95.60%
73.,BattleBlock Theater,https://steamdb.info/app/238460/,"68,502","1,942","70,444",95.60%
75.,STAR WARS™ Empire at War: Gold Pack,https://steamdb.info/app/32470/,"35,632",873,"36,505",95.59%
76.,Pineapple on pizza,https://steamdb.info/app/2263010/,"21,984",464,"22,448",95.58%
77.,Steam Engine Simulator,https://steamdb.info/app/2381620/,"6,942",73,"7,015",95.55%
79.,The Walking Dead,https://steamdb.info/app/207610/,"66,096","1,905","68,001",95.54%
78.,Inscryption,https://steamdb.info/app/1092790/,"112,521","3,548","116,069",95.54%
83.,Phoenix Wright: Ace Attorney Trilogy,https://steamdb.info/app/787480/,"30,345",736,"31,081",95.52%
82.,American Truck Simulator,https://steamdb.info/app/270880/,"151,913","5,035","156,948",95.52%
81.,Factorio,https://steamdb.info/app/427520/,"180,798","6,113","186,911",95.52%
80.,Undertale,https://steamdb.info/app/391540/,"226,270","7,839","234,109",95.52%
84.,VTOL VR,https://steamdb.info/app/667970/,"16,316",319,"16,635",95.50%
85.,Placid Plastic Duck Simulator,https://steamdb.info/app/1999360/,"14,357",269,"14,626",95.48%
86.,Balatro,https://steamdb.info/app/2379780/,"43,919","1,196","45,115",95.47%
88.,There Is No Game: Wrong Dimension,https://steamdb.info/app/1240210/,"21,335",474,"21,809",95.46%
87.,VA-11 Hall-A: Cyberpunk Bartender Action,https://steamdb.info/app/447530/,"33,610",859,"34,469",95.46%
89.,Persona 4 Golden,https://steamdb.info/app/1113000/,"68,566","2,070","70,636",95.44%
90.,Project Kat - Paper Lily Prologue,https://steamdb.info/app/1698960/,"4,721",35,"4,756",95.41%
