1.,Sheepy: A Short Adventure,https://steamdb.info/app/1568400/,95.86%,"5,016",358
2.,The WereCleaner,https://steamdb.info/app/2795000/,95.77%,"2,382",193
3.,Balatro,https://steamdb.info/app/2379780/,95.48%,"50,428","37,977"
4.,20 Small Mazes,https://steamdb.info/app/2570630/,95.09%,709,"1,070"
5.,The Hungry Lamb: Traveling in the Late Ming Dynasty,https://steamdb.info/app/2593370/,94.98%,"35,530","5,093"
6.,"Please, Touch The Artwork 2",https://steamdb.info/app/2600140/,94.96%,"1,265",365
7.,Paper Lily - Chapter 1,https://steamdb.info/app/2220360/,94.92%,"6,424",402
8.,I Wani Hug that Gator!,https://steamdb.info/app/1895350/,94.88%,"5,925",759
9.,Murders on the Yangtze River,https://steamdb.info/app/1746030/,94.78%,"17,661","4,964"
10.,Crow Country,https://steamdb.info/app/1996010/,94.21%,"14,633",836
11.,Summer Clover,https://steamdb.info/app/2458860/,94.17%,"17,565","5,199"
12.,The Planet Crafter,https://steamdb.info/app/1284190/,94.14%,"140,858","28,416"
13.,Psychopomp,https://steamdb.info/app/2771670/,94.04%,"1,965",65
14.,ENDER MAGNOLIA: Bloom in the Mist,https://steamdb.info/app/2725260/,94.01%,"19,722","2,721"
15.,Fallen Aces,https://steamdb.info/app/1411910/,93.99%,"22,362","1,349"
16.,DORONKO WANKO,https://steamdb.info/app/2512840/,93.85%,"2,438",537
17.,Minami Lane,https://steamdb.info/app/2678990/,93.81%,"8,095",503
18.,Felvidek,https://steamdb.info/app/2299900/,93.81%,"9,867",112
19.,MULLET MADJACK,https://steamdb.info/app/2111190/,93.77%,"21,888",808
20.,It Takes Two Friend's Pass,https://steamdb.info/app/2995920/,93.76%,—,—
21.,Rabbit and Steel,https://steamdb.info/app/2132850/,93.75%,"18,958","5,446"
22.,Nightmare Kart,https://steamdb.info/app/2930160/,93.75%,"9,894","1,332"
23.,Until Then,https://steamdb.info/app/1574820/,93.73%,"11,100",446
24.,买个可乐饼吧！ - Buy a Croquette!,https://steamdb.info/app/2167960/,93.67%,"1,295",313
25.,Minishoot' Adventures,https://steamdb.info/app/1634860/,93.62%,"7,296","1,367"
26.,Spirit City: Lofi Sessions,https://steamdb.info/app/2113850/,93.53%,"17,989","4,212"
27.,Touhou Hero of Ice Fairy,https://steamdb.info/app/1955830/,93.51%,"9,139","1,168"
28.,No Case Should Remain Unsolved,https://steamdb.info/app/2676840/,93.51%,"5,949",594
29.,Abiotic Factor,https://steamdb.info/app/427410/,93.48%,"67,069","21,753"
30.,Rusty's Retirement,https://steamdb.info/app/2666510/,93.46%,"20,407","20,876"
31.,Living With Sister: Monochrome Fantasy,https://steamdb.info/app/2429860/,93.44%,"30,260","5,044"
32.,Winter Memories,https://steamdb.info/app/2495450/,93.43%,"37,623","12,403"
33.,Goat Simulator 3,https://steamdb.info/app/850190/,93.36%,"17,481","2,431"
34.,A Tower Full of Cats,https://steamdb.info/app/2179170/,93.35%,"1,716",452
35.,ANIMAL WELL,https://steamdb.info/app/813230/,93.33%,"39,417","8,133"
36.,Portal: Revolution,https://steamdb.info/app/601360/,93.32%,"23,540","7,483"
37.,100 Ninja Cats,https://steamdb.info/app/2776810/,93.28%,"1,549","1,255"
38.,Cureocity,https://steamdb.info/app/2612680/,93.21%,"1,955",534
39.,Indigo Park: Chapter 1,https://steamdb.info/app/2504480/,93.18%,"15,104","2,030"
40.,Anomaly Agent,https://steamdb.info/app/2378620/,93.14%,"16,907","1,724"
41.,Content Warning,https://steamdb.info/app/2881650/,93.11%,"74,952","204,439"
42.,我的小鲨鱼,https://steamdb.info/app/2758540/,93.10%,"5,443","1,551"
43.,NUKITASHI 2,https://steamdb.info/app/2614070/,93.09%,"5,095","1,252"
44.,Buckshot Roulette,https://steamdb.info/app/2835570/,92.93%,"40,502","9,067"
45.,Rooftops & Alleys: The Parkour Game,https://steamdb.info/app/2703850/,92.87%,"18,993","1,425"
46.,100 Capitalist Cats,https://steamdb.info/app/2743080/,92.86%,"1,284","2,313"
47.,Path of Achra,https://steamdb.info/app/2128270/,92.81%,"3,545",383
48.,Snufkin: Melody of Moominvalley,https://steamdb.info/app/1808680/,92.80%,"17,661","1,125"
49.,Palworld,https://steamdb.info/app/1623730/,92.79%,"550,702","2,101,867"
50.,Hades II,https://steamdb.info/app/1145350/,92.76%,"215,056","103,567"
51.,Dog Brew,https://steamdb.info/app/2883280/,92.65%,"2,107",436
52.,Nine Sols,https://steamdb.info/app/1809540/,92.58%,"45,556","6,568"
53.,last seen online,https://steamdb.info/app/2824230/,92.57%,318,35
54.,Persona 3 Reload,https://steamdb.info/app/2161700/,92.55%,"77,810","45,002"
